name,category,prompt,negative_prompt
none,Control,,
random,Control,,
Magic — Clear Readable Interaction 001,Magic,"the selected subject revealing a magical ability, clear readable interaction; keep the selected character and selected fantasy or horror subject visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Quest — Clear Readable Interaction 002,Quest,"the selected character and subject travelling together on a quest, clear readable interaction; keep the selected character and selected fantasy or horror subject visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Combat — Clear Readable Interaction 003,Combat,"the selected character confronting the selected subject, clear readable interaction; keep the selected character and selected fantasy or horror subject visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Ritual — Clear Readable Interaction 004,Ritual,"the selected character performing a ritual with the selected subject nearby, clear readable interaction; keep the selected character and selected fantasy or horror subject visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Exploration — Clear Readable Interaction 005,Exploration,"the selected character cautiously approaching and studying the selected subject, clear readable interaction; keep the selected character and selected fantasy or horror subject visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Flight — Clear Readable Interaction 006,Flight,"the selected subject circling overhead, clear readable interaction; keep the selected character and selected fantasy or horror subject visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Pursuit — Clear Readable Interaction 007,Pursuit,"the selected character escaping from the selected subject, clear readable interaction; keep the selected character and selected fantasy or horror subject visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Summoning — Clear Readable Interaction 008,Summoning,"the selected character summoning the selected subject, clear readable interaction; keep the selected character and selected fantasy or horror subject visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Transformation — Clear Readable Interaction 009,Transformation,"the selected subject transforming, clear readable interaction; keep the selected character and selected fantasy or horror subject visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Haunting — Clear Readable Interaction 010,Haunting,"the selected subject haunting the selected character from a distance, clear readable interaction; keep the selected character and selected fantasy or horror subject visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
