index,name,prompt,negative_prompt,category,weight,favorite
1,Goth Pixie,"Give <Subject 1> goth pixie; define the silhouette, parting, texture, and finish clearly, and preserve the identical hairstyle across every frame. Keep every structural section attached and repeatable across frames.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hairstyles | Alternative Goth Cyber,1.0,False
2,Goth Bob,"Give <Subject 1> goth bob; define the silhouette, parting, texture, and finish clearly, and preserve the identical hairstyle across every frame. Keep every structural section attached and repeatable across frames.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hairstyles | Alternative Goth Cyber,1.0,False
3,Goth Shag,"Give <Subject 1> goth shag; define the silhouette, parting, texture, and finish clearly, and preserve the identical hairstyle across every frame. Keep every structural section attached and repeatable across frames.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hairstyles | Alternative Goth Cyber,1.0,False
4,Goth Mullet,"Give <Subject 1> goth mullet; define the silhouette, parting, texture, and finish clearly, and preserve the identical hairstyle across every frame. Keep every structural section attached and repeatable across frames.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hairstyles | Alternative Goth Cyber,1.0,False
5,Goth Long Layers,"Give <Subject 1> goth long layers; define the silhouette, parting, texture, and finish clearly, and preserve the identical hairstyle across every frame. Keep every structural section attached and repeatable across frames.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hairstyles | Alternative Goth Cyber,1.0,False
6,Goth Braided Style,"Give <Subject 1> goth braided style; define the silhouette, parting, texture, and finish clearly, and preserve the identical hairstyle across every frame. Keep every structural section attached and repeatable across frames.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hairstyles | Alternative Goth Cyber,1.0,False
7,Goth Twin-Tail Style,"Give <Subject 1> goth twin-tail style; define the silhouette, parting, texture, and finish clearly, and preserve the identical hairstyle across every frame. Keep every structural section attached and repeatable across frames.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hairstyles | Alternative Goth Cyber,1.0,False
8,Punk Pixie,"Give <Subject 1> punk pixie; define the silhouette, parting, texture, and finish clearly, and preserve the identical hairstyle across every frame. Keep every structural section attached and repeatable across frames.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hairstyles | Alternative Goth Cyber,1.0,False
9,Punk Bob,"Give <Subject 1> punk bob; define the silhouette, parting, texture, and finish clearly, and preserve the identical hairstyle across every frame. Keep every structural section attached and repeatable across frames.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hairstyles | Alternative Goth Cyber,1.0,False
10,Punk Shag,"Give <Subject 1> punk shag; define the silhouette, parting, texture, and finish clearly, and preserve the identical hairstyle across every frame. Keep every structural section attached and repeatable across frames.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hairstyles | Alternative Goth Cyber,1.0,False
11,Punk Mullet,"Give <Subject 1> punk mullet; define the silhouette, parting, texture, and finish clearly, and preserve the identical hairstyle across every frame. Keep every structural section attached and repeatable across frames.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hairstyles | Alternative Goth Cyber,1.0,False
12,Punk Long Layers,"Give <Subject 1> punk long layers; define the silhouette, parting, texture, and finish clearly, and preserve the identical hairstyle across every frame. Keep every structural section attached and repeatable across frames.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hairstyles | Alternative Goth Cyber,1.0,False
13,Punk Braided Style,"Give <Subject 1> punk braided style; define the silhouette, parting, texture, and finish clearly, and preserve the identical hairstyle across every frame. Keep every structural section attached and repeatable across frames.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hairstyles | Alternative Goth Cyber,1.0,False
14,Punk Twin-Tail Style,"Give <Subject 1> punk twin-tail style; define the silhouette, parting, texture, and finish clearly, and preserve the identical hairstyle across every frame. Keep every structural section attached and repeatable across frames.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hairstyles | Alternative Goth Cyber,1.0,False
15,Cyber-Goth Pixie,"Give <Subject 1> cyber-goth pixie; define the silhouette, parting, texture, and finish clearly, and preserve the identical hairstyle across every frame. Keep every structural section attached and repeatable across frames.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hairstyles | Alternative Goth Cyber,1.0,False
16,Cyber-Goth Bob,"Give <Subject 1> cyber-goth bob; define the silhouette, parting, texture, and finish clearly, and preserve the identical hairstyle across every frame. Keep every structural section attached and repeatable across frames.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hairstyles | Alternative Goth Cyber,1.0,False
17,Cyber-Goth Shag,"Give <Subject 1> cyber-goth shag; define the silhouette, parting, texture, and finish clearly, and preserve the identical hairstyle across every frame. Keep every structural section attached and repeatable across frames.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hairstyles | Alternative Goth Cyber,1.0,False
18,Cyber-Goth Mullet,"Give <Subject 1> cyber-goth mullet; define the silhouette, parting, texture, and finish clearly, and preserve the identical hairstyle across every frame. Keep every structural section attached and repeatable across frames.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hairstyles | Alternative Goth Cyber,1.0,False
