index,name,prompt
1,Hard Modern Trap Master,"Hard modern trap master with enormous controlled low end, loud clean drums, dark center image, wide atmospheric edges, and crisp vocal presence."
2,Cold UK Drill Mix,"Cold spacious drill mix with surgical transients, sliding sub-bass, short dark reverbs, and tense negative space."
3,Polished Radio Pop,"Highly polished radio-ready mix with clear vocal focus, bright width, controlled dynamics, and a chorus that opens dramatically."
4,1980s Analog Cinema,"Warm analog saturation, gated ambience, vintage drum machines, wide chorused synths, and cinematic tape color."
5,Cassette Lo-Fi,"Dusty cassette texture, tape hiss, soft clipping, pitch wobble, narrow warmth, and intentionally softened transients."
6,Organic Live Room,"Natural live-room production with audible performance detail, believable instrument bleed, warm dynamics, and minimal polish."
7,Massive Festival Master,"Huge festival-scale master with tight sub control, explosive drops, bright spatial effects, and loud but clean impact."
8,Ultra-Wide Atmospheric,"Deep three-dimensional mix with broad ambience, detailed foreground elements, long evolving tails, and gentle dynamic movement."
9,Raw Underground,"Dry aggressive underground mix with saturated drums, limited gloss, close vocals, and deliberate rough edges."
10,Epic Trailer Hybrid,"Cinematic hybrid master with enormous impacts, layered orchestral depth, controlled sub energy, and escalating act transitions."
11,Raw Underground Mixtape,"Mix and master with a Raw Underground Mixtape aesthetic, controlling depth, saturation, stereo width, transients, low end, and vocal placement accordingly."
12,Warm Analog Tape,"Mix and master with a Warm Analog Tape aesthetic, controlling depth, saturation, stereo width, transients, low end, and vocal placement accordingly."
13,Crisp Modern Hip-Hop,"Mix and master with a Crisp Modern Hip-Hop aesthetic, controlling depth, saturation, stereo width, transients, low end, and vocal placement accordingly."
14,West Coast Sunset Polish,"Mix and master with a West Coast Sunset Polish aesthetic, controlling depth, saturation, stereo width, transients, low end, and vocal placement accordingly."
15,Luxurious Drumless Master,"Mix and master with a Luxurious Drumless Master aesthetic, controlling depth, saturation, stereo width, transients, low end, and vocal placement accordingly."
16,Intimate Bedroom Pop,"Mix and master with a Intimate Bedroom Pop aesthetic, controlling depth, saturation, stereo width, transients, low end, and vocal placement accordingly."
17,Maximal Hyperpop,"Mix and master with a Maximal Hyperpop aesthetic, controlling depth, saturation, stereo width, transients, low end, and vocal placement accordingly."
18,Live Band Room,"Mix and master with a Live Band Room aesthetic, controlling depth, saturation, stereo width, transients, low end, and vocal placement accordingly."
19,Arena Rock Wide,"Mix and master with a Arena Rock Wide aesthetic, controlling depth, saturation, stereo width, transients, low end, and vocal placement accordingly."
20,Punk Basement Live,"Mix and master with a Punk Basement Live aesthetic, controlling depth, saturation, stereo width, transients, low end, and vocal placement accordingly."
21,Metalcore Precision,"Mix and master with a Metalcore Precision aesthetic, controlling depth, saturation, stereo width, transients, low end, and vocal placement accordingly."
22,Lo-Fi Cassette,"Mix and master with a Lo-Fi Cassette aesthetic, controlling depth, saturation, stereo width, transients, low end, and vocal placement accordingly."
23,Vintage Soul Vinyl,"Mix and master with a Vintage Soul Vinyl aesthetic, controlling depth, saturation, stereo width, transients, low end, and vocal placement accordingly."
24,Neo-Soul Boutique Studio,"Mix and master with a Neo-Soul Boutique Studio aesthetic, controlling depth, saturation, stereo width, transients, low end, and vocal placement accordingly."
25,Festival EDM Master,"Mix and master with a Festival EDM Master aesthetic, controlling depth, saturation, stereo width, transients, low end, and vocal placement accordingly."
26,Dark Club Techno,"Mix and master with a Dark Club Techno aesthetic, controlling depth, saturation, stereo width, transients, low end, and vocal placement accordingly."
27,Melodic Techno Cinema,"Mix and master with a Melodic Techno Cinema aesthetic, controlling depth, saturation, stereo width, transients, low end, and vocal placement accordingly."
28,Deep House Warmth,"Mix and master with a Deep House Warmth aesthetic, controlling depth, saturation, stereo width, transients, low end, and vocal placement accordingly."
29,Trance Euphoric Wide,"Mix and master with a Trance Euphoric Wide aesthetic, controlling depth, saturation, stereo width, transients, low end, and vocal placement accordingly."
30,DnB Club Pressure,"Mix and master with a DnB Club Pressure aesthetic, controlling depth, saturation, stereo width, transients, low end, and vocal placement accordingly."
31,Jungle Soundsystem,"Mix and master with a Jungle Soundsystem aesthetic, controlling depth, saturation, stereo width, transients, low end, and vocal placement accordingly."
32,Dubstep Sub-Heavy,"Mix and master with a Dubstep Sub-Heavy aesthetic, controlling depth, saturation, stereo width, transients, low end, and vocal placement accordingly."
33,Phonk Saturated,"Mix and master with a Phonk Saturated aesthetic, controlling depth, saturation, stereo width, transients, low end, and vocal placement accordingly."
34,Dub Reggae Space Echo,"Mix and master with a Dub Reggae Space Echo aesthetic, controlling depth, saturation, stereo width, transients, low end, and vocal placement accordingly."
35,Cinematic Trailer Hybrid,"Mix and master with a Cinematic Trailer Hybrid aesthetic, controlling depth, saturation, stereo width, transients, low end, and vocal placement accordingly."
36,Horror Film Soundstage,"Mix and master with a Horror Film Soundstage aesthetic, controlling depth, saturation, stereo width, transients, low end, and vocal placement accordingly."
