name,prompt,negative_prompt,category,weight,favorite
"0101 | Perspective/Direct Rear/Direct Rear Camera — waist-up crop, 65mm short-portrait lens, slightly off-centre editorial composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; wide scene distance; waist-up crop; 65mm short-portrait lens; slightly off-centre editorial composition; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0102 | Perspective/Direct Rear/Direct Rear Camera — tight portrait crop, 40mm natural-perspective lens, strong leading lines toward the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; intimate portrait distance; tight portrait crop; 40mm natural-perspective lens; strong leading lines toward the subject; focus locked on the primary subject; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0103 | Perspective/Direct Rear/Direct Rear Camera — full-figure framing, 24mm wide-angle lens with controlled edge distortion, minimal uncluttered composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; environmental portrait distance; full-figure framing; 24mm wide-angle lens with controlled edge distortion; minimal uncluttered composition; foreground softly separated from the subject; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0104 | Perspective/Direct Rear/Direct Rear Camera — cinematic landscape framing, 65mm short-portrait lens, foreground-to-background depth layering","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; camera distance balanced between subject and environment; cinematic landscape framing; 65mm short-portrait lens; foreground-to-background depth layering; shallow depth of field with clean subject separation; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0105 | Perspective/Direct Rear/Direct Rear Camera — cinematic landscape framing, 28mm moderately wide lens, centred composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; camera distance balanced between subject and environment; cinematic landscape framing; 28mm moderately wide lens; centred composition; focus locked on the primary subject; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0106 | Perspective/Direct Rear/Direct Rear Camera — medium crop, 70mm short-telephoto lens, environmental elements framing the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; full-figure camera distance; medium crop; 70mm short-telephoto lens; environmental elements framing the subject; foreground softly separated from the subject; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0107 | Perspective/Direct Rear/Direct Rear Camera — medium crop, 65mm short-portrait lens, slightly off-centre editorial composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; camera close enough to retain material texture; medium crop; 65mm short-portrait lens; slightly off-centre editorial composition; balanced focus between subject and immediate environment; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0108 | Perspective/Direct Rear/Direct Rear Camera — medium crop, 65mm short-portrait lens, rule-of-thirds composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; close camera distance; medium crop; 65mm short-portrait lens; rule-of-thirds composition; clean edge separation around the subject; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0109 | Perspective/Direct Rear/Direct Rear Camera — wide environmental framing, 65mm short-portrait lens, symmetrical visual balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; environmental portrait distance; wide environmental framing; 65mm short-portrait lens; symmetrical visual balance; foreground softly separated from the subject; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0110 | Perspective/Direct Rear/Direct Rear Camera — medium crop, 85mm portrait lens, environmental elements framing the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; moderate camera distance; medium crop; 85mm portrait lens; environmental elements framing the subject; foreground softly separated from the subject; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
