name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Rear Garment Focus/Rear Garment and Costume Focus — head-and-shoulders framing, camera at eye level, 28mm moderately wide perspective","camera positioned behind the primary subject with the back of the outfit as the main visual focus, garment silhouette, straps, seams, closures, drape and texture clearly visible, head facing away, face not shown, camera at eye level, camera at moderate environmental distance, head-and-shoulders framing, 28mm moderately wide perspective, asymmetrical cinematic balance, balanced focus across subject and surroundings, clear camera-to-subject relationship, coherent spatial orientation","front garment view, visible face, eye contact, turned head, clothing obscured, incorrect garment back, mirror, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Rear Garment Focus,1,False
"0002 | Perspective/Rear Garment Focus/Rear Garment and Costume Focus — tight portrait framing, camera slightly below eye level, 24mm wide-angle perspective with controlled distortion","camera positioned behind the primary subject with the back of the outfit as the main visual focus, garment silhouette, straps, seams, closures, drape and texture clearly visible, head facing away, face not shown, camera slightly below eye level, camera far enough back to preserve the full silhouette, tight portrait framing, 24mm wide-angle perspective with controlled distortion, clean negative space around the subject, focus centred on clothing and body orientation, clear camera-to-subject relationship, coherent spatial orientation","front garment view, visible face, eye contact, turned head, clothing obscured, incorrect garment back, mirror, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Rear Garment Focus,1,False
"0003 | Perspective/Rear Garment Focus/Rear Garment and Costume Focus — cinematic landscape framing, camera close to ground level, 28mm moderately wide perspective","camera positioned behind the primary subject with the back of the outfit as the main visual focus, garment silhouette, straps, seams, closures, drape and texture clearly visible, head facing away, face not shown, camera close to ground level, camera at intimate portrait distance, cinematic landscape framing, 28mm moderately wide perspective, asymmetrical cinematic balance, focus prioritising the back silhouette and shoulder line, clear camera-to-subject relationship, coherent spatial orientation","front garment view, visible face, eye contact, turned head, clothing obscured, incorrect garment back, mirror, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Rear Garment Focus,1,False
"0004 | Perspective/Rear Garment Focus/Rear Garment and Costume Focus — medium portrait framing, camera close to ground level, 65mm portrait perspective","camera positioned behind the primary subject with the back of the outfit as the main visual focus, garment silhouette, straps, seams, closures, drape and texture clearly visible, head facing away, face not shown, camera close to ground level, camera close enough to prioritise garment texture, medium portrait framing, 65mm portrait perspective, rule-of-thirds placement, balanced focus across subject and surroundings, clear camera-to-subject relationship, coherent spatial orientation","front garment view, visible face, eye contact, turned head, clothing obscured, incorrect garment back, mirror, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Rear Garment Focus,1,False
"0005 | Perspective/Rear Garment Focus/Rear Garment and Costume Focus — vertical editorial framing, camera at waist height, 65mm portrait perspective","camera positioned behind the primary subject with the back of the outfit as the main visual focus, garment silhouette, straps, seams, closures, drape and texture clearly visible, head facing away, face not shown, camera at waist height, camera at conversational distance, vertical editorial framing, 65mm portrait perspective, rule-of-thirds placement, subject sharply defined against a softly separated background, clear camera-to-subject relationship, coherent spatial orientation","front garment view, visible face, eye contact, turned head, clothing obscured, incorrect garment back, mirror, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Rear Garment Focus,1,False
"0006 | Perspective/Rear Garment Focus/Rear Garment and Costume Focus — medium portrait framing, camera at shoulder height, 65mm portrait perspective","camera positioned behind the primary subject with the back of the outfit as the main visual focus, garment silhouette, straps, seams, closures, drape and texture clearly visible, head facing away, face not shown, camera at shoulder height, camera at natural observational distance, medium portrait framing, 65mm portrait perspective, environment framing the subject naturally, subject sharply defined against a softly separated background, clear camera-to-subject relationship, coherent spatial orientation","front garment view, visible face, eye contact, turned head, clothing obscured, incorrect garment back, mirror, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Rear Garment Focus,1,False
"0007 | Perspective/Rear Garment Focus/Rear Garment and Costume Focus — medium portrait framing, camera elevated above the subject, 135mm long-lens perspective","camera positioned behind the primary subject with the back of the outfit as the main visual focus, garment silhouette, straps, seams, closures, drape and texture clearly visible, head facing away, face not shown, camera elevated above the subject, camera at moderate environmental distance, medium portrait framing, 135mm long-lens perspective, environment framing the subject naturally, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","front garment view, visible face, eye contact, turned head, clothing obscured, incorrect garment back, mirror, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Rear Garment Focus,1,False
"0008 | Perspective/Rear Garment Focus/Rear Garment and Costume Focus — waist-up framing, camera slightly below eye level, 65mm portrait perspective","camera positioned behind the primary subject with the back of the outfit as the main visual focus, garment silhouette, straps, seams, closures, drape and texture clearly visible, head facing away, face not shown, camera slightly below eye level, camera at natural observational distance, waist-up framing, 65mm portrait perspective, strong leading lines directing attention to the subject, balanced focus across subject and surroundings, clear camera-to-subject relationship, coherent spatial orientation","front garment view, visible face, eye contact, turned head, clothing obscured, incorrect garment back, mirror, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Rear Garment Focus,1,False
"0009 | Perspective/Rear Garment Focus/Rear Garment and Costume Focus — cinematic landscape framing, camera at chest height, 70mm short-telephoto perspective","camera positioned behind the primary subject with the back of the outfit as the main visual focus, garment silhouette, straps, seams, closures, drape and texture clearly visible, head facing away, face not shown, camera at chest height, camera close enough to prioritise garment texture, cinematic landscape framing, 70mm short-telephoto perspective, minimal uncluttered composition, deep focus with foreground and background clearly readable, clear camera-to-subject relationship, coherent spatial orientation","front garment view, visible face, eye contact, turned head, clothing obscured, incorrect garment back, mirror, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Rear Garment Focus,1,False
"0010 | Perspective/Rear Garment Focus/Rear Garment and Costume Focus — tight portrait framing, camera elevated above the subject, 70mm short-telephoto perspective","camera positioned behind the primary subject with the back of the outfit as the main visual focus, garment silhouette, straps, seams, closures, drape and texture clearly visible, head facing away, face not shown, camera elevated above the subject, camera at moderate environmental distance, tight portrait framing, 70mm short-telephoto perspective, slightly off-centre editorial composition, moderate depth of field preserving environmental context, clear camera-to-subject relationship, coherent spatial orientation","front garment view, visible face, eye contact, turned head, clothing obscured, incorrect garment back, mirror, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Rear Garment Focus,1,False
"0011 | Perspective/Rear Garment Focus/Rear Garment and Costume Focus — three-quarter body framing, camera close to ground level, 135mm long-lens perspective","camera positioned behind the primary subject with the back of the outfit as the main visual focus, garment silhouette, straps, seams, closures, drape and texture clearly visible, head facing away, face not shown, camera close to ground level, camera at moderate environmental distance, three-quarter body framing, 135mm long-lens perspective, environment framing the subject naturally, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","front garment view, visible face, eye contact, turned head, clothing obscured, incorrect garment back, mirror, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Rear Garment Focus,1,False
"0012 | Perspective/Rear Garment Focus/Rear Garment and Costume Focus — full-body framing, camera at knee height, 24mm wide-angle perspective with controlled distortion","camera positioned behind the primary subject with the back of the outfit as the main visual focus, garment silhouette, straps, seams, closures, drape and texture clearly visible, head facing away, face not shown, camera at knee height, camera at natural observational distance, full-body framing, 24mm wide-angle perspective with controlled distortion, foreground-to-background depth layering, deep focus with foreground and background clearly readable, clear camera-to-subject relationship, coherent spatial orientation","front garment view, visible face, eye contact, turned head, clothing obscured, incorrect garment back, mirror, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Rear Garment Focus,1,False
"0013 | Perspective/Rear Garment Focus/Rear Garment and Costume Focus — three-quarter body framing, camera at shoulder height, 50mm standard lens perspective","camera positioned behind the primary subject with the back of the outfit as the main visual focus, garment silhouette, straps, seams, closures, drape and texture clearly visible, head facing away, face not shown, camera at shoulder height, camera positioned to include foreground depth, three-quarter body framing, 50mm standard lens perspective, centred composition, focus locked on the primary subject silhouette, clear camera-to-subject relationship, coherent spatial orientation","front garment view, visible face, eye contact, turned head, clothing obscured, incorrect garment back, mirror, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Rear Garment Focus,1,False
"0014 | Perspective/Rear Garment Focus/Rear Garment and Costume Focus — balanced square-format framing, camera slightly above eye level, 105mm compressed portrait perspective","camera positioned behind the primary subject with the back of the outfit as the main visual focus, garment silhouette, straps, seams, closures, drape and texture clearly visible, head facing away, face not shown, camera slightly above eye level, camera at intimate portrait distance, balanced square-format framing, 105mm compressed portrait perspective, environment framing the subject naturally, focus locked on the primary subject silhouette, clear camera-to-subject relationship, coherent spatial orientation","front garment view, visible face, eye contact, turned head, clothing obscured, incorrect garment back, mirror, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Rear Garment Focus,1,False
"0015 | Perspective/Rear Garment Focus/Rear Garment and Costume Focus — tight portrait framing, camera at eye level, 85mm portrait perspective","camera positioned behind the primary subject with the back of the outfit as the main visual focus, garment silhouette, straps, seams, closures, drape and texture clearly visible, head facing away, face not shown, camera at eye level, camera at moderate environmental distance, tight portrait framing, 85mm portrait perspective, clean negative space around the subject, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","front garment view, visible face, eye contact, turned head, clothing obscured, incorrect garment back, mirror, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Rear Garment Focus,1,False
