name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Medium Portrait/Medium Portrait Camera — waist-up crop, 35mm environmental lens, minimal uncluttered composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera framed at a moderate portrait distance with the subject occupying the central visual area and some environment retained; wide scene distance; waist-up crop; 35mm environmental lens; minimal uncluttered composition; focus weighted toward clothing and surface texture; coherent camera-to-scene geometry","extreme close-up, distant establishing view, accidental subject cropping, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Medium Portrait,1,False
"0002 | Perspective/Medium Portrait/Medium Portrait Camera — three-quarter-length crop, 50mm standard lens, environmental elements framing the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera framed at a moderate portrait distance with the subject occupying the central visual area and some environment retained; camera distance balanced between subject and environment; three-quarter-length crop; 50mm standard lens; environmental elements framing the subject; foreground softly separated from the subject; coherent camera-to-scene geometry","extreme close-up, distant establishing view, accidental subject cropping, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Medium Portrait,1,False
"0003 | Perspective/Medium Portrait/Medium Portrait Camera — balanced square framing, 135mm telephoto lens, slightly off-centre editorial composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera framed at a moderate portrait distance with the subject occupying the central visual area and some environment retained; conversational camera distance; balanced square framing; 135mm telephoto lens; slightly off-centre editorial composition; foreground softly separated from the subject; coherent camera-to-scene geometry","extreme close-up, distant establishing view, accidental subject cropping, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Medium Portrait,1,False
"0004 | Perspective/Medium Portrait/Medium Portrait Camera — balanced square framing, 135mm telephoto lens, minimal uncluttered composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera framed at a moderate portrait distance with the subject occupying the central visual area and some environment retained; full-figure camera distance; balanced square framing; 135mm telephoto lens; minimal uncluttered composition; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","extreme close-up, distant establishing view, accidental subject cropping, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Medium Portrait,1,False
"0005 | Perspective/Medium Portrait/Medium Portrait Camera — full-figure framing, 28mm moderately wide lens, foreground-to-background depth layering","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera framed at a moderate portrait distance with the subject occupying the central visual area and some environment retained; moderate camera distance; full-figure framing; 28mm moderately wide lens; foreground-to-background depth layering; focus weighted toward facial detail when visible; coherent camera-to-scene geometry","extreme close-up, distant establishing view, accidental subject cropping, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Medium Portrait,1,False
"0006 | Perspective/Medium Portrait/Medium Portrait Camera — cinematic landscape framing, 70mm short-telephoto lens, asymmetrical cinematic balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera framed at a moderate portrait distance with the subject occupying the central visual area and some environment retained; intimate portrait distance; cinematic landscape framing; 70mm short-telephoto lens; asymmetrical cinematic balance; clean edge separation around the subject; coherent camera-to-scene geometry","extreme close-up, distant establishing view, accidental subject cropping, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Medium Portrait,1,False
"0007 | Perspective/Medium Portrait/Medium Portrait Camera — head-and-shoulders crop, 40mm natural-perspective lens, asymmetrical cinematic balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera framed at a moderate portrait distance with the subject occupying the central visual area and some environment retained; close camera distance; head-and-shoulders crop; 40mm natural-perspective lens; asymmetrical cinematic balance; moderate depth of field retaining nearby context; coherent camera-to-scene geometry","extreme close-up, distant establishing view, accidental subject cropping, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Medium Portrait,1,False
"0008 | Perspective/Medium Portrait/Medium Portrait Camera — head-and-shoulders crop, 105mm compressed portrait lens, rule-of-thirds composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera framed at a moderate portrait distance with the subject occupying the central visual area and some environment retained; moderate camera distance; head-and-shoulders crop; 105mm compressed portrait lens; rule-of-thirds composition; focus weighted toward clothing and surface texture; coherent camera-to-scene geometry","extreme close-up, distant establishing view, accidental subject cropping, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Medium Portrait,1,False
"0009 | Perspective/Medium Portrait/Medium Portrait Camera — balanced square framing, 50mm standard lens, clean negative space around the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera framed at a moderate portrait distance with the subject occupying the central visual area and some environment retained; moderate camera distance; balanced square framing; 50mm standard lens; clean negative space around the subject; focus locked on the primary subject; coherent camera-to-scene geometry","extreme close-up, distant establishing view, accidental subject cropping, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Medium Portrait,1,False
"0010 | Perspective/Medium Portrait/Medium Portrait Camera — cinematic landscape framing, 70mm short-telephoto lens, minimal uncluttered composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera framed at a moderate portrait distance with the subject occupying the central visual area and some environment retained; wide scene distance; cinematic landscape framing; 70mm short-telephoto lens; minimal uncluttered composition; moderate depth of field retaining nearby context; coherent camera-to-scene geometry","extreme close-up, distant establishing view, accidental subject cropping, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Medium Portrait,1,False
