index,name,prompt,negative_prompt,category,weight,favorite
1,Minimal Harness-Detail Dress,"Dress <Subject 1> in minimal harness-detail dress, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Treat harnesses as garment-integrated fashion details; keep coverage non-explicit.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Harness Strap Hardware,1.0,False
2,Minimal Harness-Detail Top,"Dress <Subject 1> in minimal harness-detail top, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Treat harnesses as garment-integrated fashion details; keep coverage non-explicit.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Harness Strap Hardware,1.0,False
3,Minimal Harness-Detail Jacket,"Dress <Subject 1> in minimal harness-detail jacket, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Treat harnesses as garment-integrated fashion details; keep coverage non-explicit.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Harness Strap Hardware,1.0,False
4,Minimal Harness-Detail Trouser Set,"Dress <Subject 1> in minimal harness-detail trouser set, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Treat harnesses as garment-integrated fashion details; keep coverage non-explicit.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Harness Strap Hardware,1.0,False
5,Minimal Harness-Detail Skirt Set,"Dress <Subject 1> in minimal harness-detail skirt set, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Treat harnesses as garment-integrated fashion details; keep coverage non-explicit.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Harness Strap Hardware,1.0,False
6,Minimal Harness-Detail Fashion Bodysuit,"Dress <Subject 1> in minimal harness-detail fashion bodysuit, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Treat harnesses as garment-integrated fashion details; keep coverage non-explicit.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Harness Strap Hardware,1.0,False
7,Geometric Strap-Detail Dress,"Dress <Subject 1> in geometric strap-detail dress, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Treat harnesses as garment-integrated fashion details; keep coverage non-explicit.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Harness Strap Hardware,1.0,False
8,Geometric Strap-Detail Top,"Dress <Subject 1> in geometric strap-detail top, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Treat harnesses as garment-integrated fashion details; keep coverage non-explicit.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Harness Strap Hardware,1.0,False
9,Geometric Strap-Detail Jacket,"Dress <Subject 1> in geometric strap-detail jacket, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Treat harnesses as garment-integrated fashion details; keep coverage non-explicit.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Harness Strap Hardware,1.0,False
10,Geometric Strap-Detail Trouser Set,"Dress <Subject 1> in geometric strap-detail trouser set, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Treat harnesses as garment-integrated fashion details; keep coverage non-explicit.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Harness Strap Hardware,1.0,False
11,Geometric Strap-Detail Skirt Set,"Dress <Subject 1> in geometric strap-detail skirt set, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Treat harnesses as garment-integrated fashion details; keep coverage non-explicit.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Harness Strap Hardware,1.0,False
12,Geometric Strap-Detail Fashion Bodysuit,"Dress <Subject 1> in geometric strap-detail fashion bodysuit, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Treat harnesses as garment-integrated fashion details; keep coverage non-explicit.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Harness Strap Hardware,1.0,False
13,Cage-Panel Dress,"Dress <Subject 1> in cage-panel dress, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Treat harnesses as garment-integrated fashion details; keep coverage non-explicit.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Harness Strap Hardware,1.0,False
