index,name,prompt,negative_prompt,category,weight,favorite
1,Mountain Pose,"Use Mountain Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Mountain Pose once after the outfit and hairstyle are established, then holds Mountain Pose completely unchanged until the shot or movement sequence finishes.",,Yoga Pose,1,
2,Tree Pose,"Use Tree Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Tree Pose once after the outfit and hairstyle are established, then holds Tree Pose completely unchanged until the shot or movement sequence finishes.",,Yoga Pose,1,
3,Chair Pose,"Use Chair Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Chair Pose once after the outfit and hairstyle are established, then holds Chair Pose completely unchanged until the shot or movement sequence finishes.",,Yoga Pose,1,
4,Warrior I Pose,"Use Warrior I Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Warrior I Pose once after the outfit and hairstyle are established, then holds Warrior I Pose completely unchanged until the shot or movement sequence finishes.",,Yoga Pose,1,
5,Warrior II Pose,"Use Warrior II Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Warrior II Pose once after the outfit and hairstyle are established, then holds Warrior II Pose completely unchanged until the shot or movement sequence finishes.",,Yoga Pose,1,
6,Warrior III Pose,"Use Warrior III Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Warrior III Pose once after the outfit and hairstyle are established, then holds Warrior III Pose completely unchanged until the shot or movement sequence finishes.",,Yoga Pose,1,
7,Triangle Pose,"Use Triangle Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Triangle Pose once after the outfit and hairstyle are established, then holds Triangle Pose completely unchanged until the shot or movement sequence finishes.",,Yoga Pose,1,
8,Extended Side Angle Pose,"Use Extended Side Angle Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Extended Side Angle Pose once after the outfit and hairstyle are established, then holds Extended Side Angle Pose completely unchanged until the shot or movement sequence finishes.",,Yoga Pose,1,
9,Half Moon Pose,"Use Half Moon Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Half Moon Pose once after the outfit and hairstyle are established, then holds Half Moon Pose completely unchanged until the shot or movement sequence finishes.",,Yoga Pose,1,
10,Standing Forward Bend Pose,"Use Standing Forward Bend Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Standing Forward Bend Pose once after the outfit and hairstyle are established, then holds Standing Forward Bend Pose completely unchanged until the shot or movement sequence finishes.",,Yoga Pose,1,
11,Garland Pose,"Use Garland Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Garland Pose once after the outfit and hairstyle are established, then holds Garland Pose completely unchanged until the shot or movement sequence finishes.",,Yoga Pose,1,
12,High Lunge Pose,"Use High Lunge Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into High Lunge Pose once after the outfit and hairstyle are established, then holds High Lunge Pose completely unchanged until the shot or movement sequence finishes.",,Yoga Pose,1,
