index,name,prompt,negative_prompt,category,weight,favorite
1,Male/Accessories/Footwear/Sneakers,"Use sneakers as the footwear choice, with clean styling and no visible logos.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Accessories/Male/Footwear,1,False
2,Male/Accessories/Footwear/Slides,"Use slides as the footwear choice, with clean styling and no visible logos.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Accessories/Male/Footwear,1,False
3,Male/Accessories/Footwear/Loafers,"Use loafers as the footwear choice, with clean styling and no visible logos.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Accessories/Male/Footwear,1,False
4,Male/Accessories/Footwear/Boots,"Use boots as the footwear choice, with clean styling and no visible logos.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Accessories/Male/Footwear,1,False
5,Male/Accessories/Jewelry/Chain Necklace,"Add a chain necklace as a coordinated accessory, keeping it unbranded, tasteful, and readable.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Accessories/Male/Jewelry,1,False
6,Male/Accessories/Jewelry/Bracelet,"Add a bracelet as a coordinated accessory, keeping it unbranded, tasteful, and readable.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Accessories/Male/Jewelry,1,False
7,Male/Accessories/Headwear/Baseball Cap,"Add a baseball cap as a coordinated accessory, keeping it unbranded and visually clear.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Accessories/Male/Headwear,1,False
8,Male/Accessories/Headwear/Bucket Hat,"Add a bucket hat as a coordinated accessory, keeping it unbranded and visually clear.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Accessories/Male/Headwear,1,False
9,Male/Accessories/Outer Layer/Open Shirt,"Add an open shirt as a coordinated outer layer, keeping it unbranded and naturally styled.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Accessories/Male/Outer Layer,1,False
10,Male/Accessories/Outer Layer/Lightweight Robe,"Add a lightweight robe as a coordinated outer layer, keeping it unbranded and naturally styled.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Accessories/Male/Outer Layer,1,False
