index,name,prompt,negative_prompt,category,weight,favorite
1,H3 Safe/Pose Friendly/Seamless Bodysuit,"Use seamless bodysuit as a pose-friendly outfit for <Subject 1>, with stable readable garment structure, simple clean construction, realistic fabric behaviour, and unbranded styling suitable for cleaner H3 pose generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Pose Friendly,1,False
2,H3 Safe/Pose Friendly/Yoga Outfit,"Use yoga outfit as a pose-friendly outfit for <Subject 1>, with stable readable garment structure, simple clean construction, realistic fabric behaviour, and unbranded styling suitable for cleaner H3 pose generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Pose Friendly,1,False
3,H3 Safe/Pose Friendly/Athleisure Set,"Use athleisure set as a pose-friendly outfit for <Subject 1>, with stable readable garment structure, simple clean construction, realistic fabric behaviour, and unbranded styling suitable for cleaner H3 pose generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Pose Friendly,1,False
4,H3 Safe/Pose Friendly/Sports Bra and Brief Set,"Use sports bra and brief set as a pose-friendly outfit for <Subject 1>, with stable readable garment structure, simple clean construction, realistic fabric behaviour, and unbranded styling suitable for cleaner H3 pose generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Pose Friendly,1,False
5,H3 Safe/Pose Friendly/Longline Bra and High-waist Brief Set,"Use longline bra and high-waist brief set as a pose-friendly outfit for <Subject 1>, with stable readable garment structure, simple clean construction, realistic fabric behaviour, and unbranded styling suitable for cleaner H3 pose generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Pose Friendly,1,False
6,H3 Safe/Pose Friendly/Wireless Bra and Hipster Set,"Use wireless bra and hipster set as a pose-friendly outfit for <Subject 1>, with stable readable garment structure, simple clean construction, realistic fabric behaviour, and unbranded styling suitable for cleaner H3 pose generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Pose Friendly,1,False
7,H3 Safe/Pose Friendly/Soft-cup Bra and Brief Set,"Use soft-cup bra and brief set as a pose-friendly outfit for <Subject 1>, with stable readable garment structure, simple clean construction, realistic fabric behaviour, and unbranded styling suitable for cleaner H3 pose generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Pose Friendly,1,False
8,H3 Safe/Pose Friendly/One-piece Swimsuit,"Use one-piece swimsuit as a pose-friendly outfit for <Subject 1>, with stable readable garment structure, simple clean construction, realistic fabric behaviour, and unbranded styling suitable for cleaner H3 pose generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Pose Friendly,1,False
9,H3 Safe/Pose Friendly/Sport Bikini Set,"Use sport bikini set as a pose-friendly outfit for <Subject 1>, with stable readable garment structure, simple clean construction, realistic fabric behaviour, and unbranded styling suitable for cleaner H3 pose generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Pose Friendly,1,False
10,H3 Safe/Pose Friendly/Tankini Set,"Use tankini set as a pose-friendly outfit for <Subject 1>, with stable readable garment structure, simple clean construction, realistic fabric behaviour, and unbranded styling suitable for cleaner H3 pose generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Pose Friendly,1,False
11,H3 Safe/Pose Friendly/Rash-guard Set,"Use rash-guard set as a pose-friendly outfit for <Subject 1>, with stable readable garment structure, simple clean construction, realistic fabric behaviour, and unbranded styling suitable for cleaner H3 pose generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Pose Friendly,1,False
12,H3 Safe/Pose Friendly/Simple Lingerie Set,"Use simple lingerie set as a pose-friendly outfit for <Subject 1>, with stable readable garment structure, simple clean construction, realistic fabric behaviour, and unbranded styling suitable for cleaner H3 pose generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Pose Friendly,1,False
13,H3 Safe/Pose Friendly/Simple Cami and Shorts Set,"Use simple cami and shorts set as a pose-friendly outfit for <Subject 1>, with stable readable garment structure, simple clean construction, realistic fabric behaviour, and unbranded styling suitable for cleaner H3 pose generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Pose Friendly,1,False
14,H3 Safe/Pose Friendly/Fitted Lounge Set,"Use fitted lounge set as a pose-friendly outfit for <Subject 1>, with stable readable garment structure, simple clean construction, realistic fabric behaviour, and unbranded styling suitable for cleaner H3 pose generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Pose Friendly,1,False
15,H3 Safe/Pose Friendly/Simple Slip Dress,"Use simple slip dress as a pose-friendly outfit for <Subject 1>, with stable readable garment structure, simple clean construction, realistic fabric behaviour, and unbranded styling suitable for cleaner H3 pose generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Pose Friendly,1,False
