index,name,prompt,negative_prompt,category,weight,favorite
1,Safe Identity Lock,"Keep the same face, body, age, skin tone, and distinctive features.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | H3-Safe | Stability & Continuity,1.0,False
2,Safe Anatomy Lock,"Keep anatomy, hands, fingers, limbs, face, and proportions stable.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | H3-Safe | Stability & Continuity,1.0,False
3,Safe Outfit Lock,"Keep outfit type, color, material, fit, closures, trim, and layers unchanged.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | H3-Safe | Stability & Continuity,1.0,False
4,Safe Hair Lock,"Keep hairstyle, color, length, parting, and accessories unchanged.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | H3-Safe | Stability & Continuity,1.0,False
5,Safe Scene Lock,"Keep background, props, lighting, weather, and object positions unchanged.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | H3-Safe | Stability & Continuity,1.0,False
6,Safe Prop Lock,Keep each prop in the same hand and orientation until the named action changes it.,"identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | H3-Safe | Stability & Continuity,1.0,False
7,Safe Direction Lock,Keep left-right orientation and direction of travel unchanged.,"identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | H3-Safe | Stability & Continuity,1.0,False
8,Safe Camera Lock,"Keep one camera path, speed, horizon, and final framing.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | H3-Safe | Stability & Continuity,1.0,False
9,Safe Audio Lock,"Keep dialogue timing, music, ambience, and levels continuous.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | H3-Safe | Stability & Continuity,1.0,False
10,Safe Continue Frame,Start from the exact previous final frame. Do not reset pose or framing.,"identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | H3-Safe | Stability & Continuity,1.0,False
11,Safe Preserve Momentum,"Continue the same subject and camera direction, then settle smoothly.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | H3-Safe | Stability & Continuity,1.0,False
12,Safe Preserve Object,"Keep the held object, hand, grip, position, and scale unchanged.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | H3-Safe | Stability & Continuity,1.0,False
13,Safe Preserve Lighting,"Keep light direction, color, intensity, and shadows unchanged.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | H3-Safe | Stability & Continuity,1.0,False
14,Safe Preserve Weather,"Keep weather, wind, wetness, and atmosphere unchanged.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | H3-Safe | Stability & Continuity,1.0,False
15,Safe Clean Handoff,"Final 2 seconds: reduce motion, keep face and hands visible, and hold stable.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | H3-Safe | Stability & Continuity,1.0,False
16,Safe Full Lock,"Lock identity, anatomy, outfit, hair, scene, props, camera, audio, and final frame.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | H3-Safe | Stability & Continuity,1.0,False
