index,name,prompt,negative_prompt,category,weight,favorite
1,Safe Stand Still,"Stand still with natural breathing. Hold identity, pose, outfit, and framing.","unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | H3-Safe | Action & Timing,1.0,False
2,Safe Walk Two Steps,"Walk forward two natural steps, stop, and hold stable.","unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | H3-Safe | Action & Timing,1.0,False
3,Safe Turn to Camera,"Turn once toward the camera, settle, and hold.","unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | H3-Safe | Action & Timing,1.0,False
4,Safe Look Over Shoulder,Look over one shoulder slowly. Keep torso and outfit stable.,"unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | H3-Safe | Action & Timing,1.0,False
5,Safe Sit,Sit once with natural weight transfer. Settle and hold.,"unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | H3-Safe | Action & Timing,1.0,False
6,Safe Stand,Stand once with natural weight transfer. Settle and hold.,"unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | H3-Safe | Action & Timing,1.0,False
7,Safe Small Gesture,Make one small hand gesture. Keep fingers visible. Return to stillness.,"unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | H3-Safe | Action & Timing,1.0,False
8,Safe Pose Change,Move slowly into one new pose. Hold the final pose.,"unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | H3-Safe | Action & Timing,1.0,False
9,Safe Gaze Shift,Shift gaze once to the named point. Hold the final expression.,"unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | H3-Safe | Action & Timing,1.0,False
10,Safe Jacket Adjust,Adjust the jacket once. Do not change the outfit.,"unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | H3-Safe | Action & Timing,1.0,False
11,Safe Product Turn,"Rotate the product once slowly. Preserve shape, label, and material.","unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | H3-Safe | Action & Timing,1.0,False
12,Safe Yoga Hold,Hold one named yoga pose with stable anatomy and contact points.,"unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | H3-Safe | Action & Timing,1.0,False
13,Safe Dialogue,Deliver one supplied line with precise lip sync and minimal gesture.,"unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | H3-Safe | Action & Timing,1.0,False
14,Safe Choreography Phrase,Perform one short reference movement phrase in the same pose order and direction.,"unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | H3-Safe | Action & Timing,1.0,False
15,Safe Establish Act Settle,"Establish the start, perform one action, then settle into a stable ending.","unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | H3-Safe | Action & Timing,1.0,False
16,Safe Final Two Seconds,Stop extra motion and hold the final frame stable for 2 seconds.,"unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | H3-Safe | Action & Timing,1.0,False
