index,name,prompt,negative_prompt,category,weight,favorite
1,Vivid Ruby Red,"Color <Subject 1>'s hair vivid ruby red; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Vivid Fantasy,1.0,False
2,Vivid Scarlet,"Color <Subject 1>'s hair vivid scarlet; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Vivid Fantasy,1.0,False
3,Vivid Hot Pink,"Color <Subject 1>'s hair vivid hot pink; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Vivid Fantasy,1.0,False
4,Vivid Magenta,"Color <Subject 1>'s hair vivid magenta; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Vivid Fantasy,1.0,False
5,Vivid Violet,"Color <Subject 1>'s hair vivid violet; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Vivid Fantasy,1.0,False
6,Vivid Royal Purple,"Color <Subject 1>'s hair vivid royal purple; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Vivid Fantasy,1.0,False
7,Vivid Cobalt Blue,"Color <Subject 1>'s hair vivid cobalt blue; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Vivid Fantasy,1.0,False
8,Vivid Azure Blue,"Color <Subject 1>'s hair vivid azure blue; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Vivid Fantasy,1.0,False
9,Vivid Teal,"Color <Subject 1>'s hair vivid teal; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Vivid Fantasy,1.0,False
10,Vivid Emerald Green,"Color <Subject 1>'s hair vivid emerald green; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Vivid Fantasy,1.0,False
11,Vivid Lime Green,"Color <Subject 1>'s hair vivid lime green; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Vivid Fantasy,1.0,False
12,Vivid Orange,"Color <Subject 1>'s hair vivid orange; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Vivid Fantasy,1.0,False
13,Vivid Gold,"Color <Subject 1>'s hair vivid gold; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Vivid Fantasy,1.0,False
14,Vivid Silver,"Color <Subject 1>'s hair vivid silver; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Vivid Fantasy,1.0,False
15,Electric Ruby Red,"Color <Subject 1>'s hair electric ruby red; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Vivid Fantasy,1.0,False
16,Electric Scarlet,"Color <Subject 1>'s hair electric scarlet; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Vivid Fantasy,1.0,False
17,Electric Hot Pink,"Color <Subject 1>'s hair electric hot pink; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Vivid Fantasy,1.0,False
18,Electric Magenta,"Color <Subject 1>'s hair electric magenta; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Vivid Fantasy,1.0,False
