name,prompt,negative_prompt,category,weight,favorite
Sultry Gaze Portrait,"close up portrait of stunning woman with intense smoldering gaze, glistening wet lips slightly parted, sweat droplets on collarbone, golden hour backlight creating rim light around hair","low quality...",General,1,
Standing Tease Against Wall,"full body shot of woman leaning against textured brick wall, one leg slightly bent to accentuate thigh curve, fingers playing with bottom button of unbuttoned denim jeans, wind blowing hair across face, confident smirk","low quality...",Standing,1,
Sitting on Couch Lap,"woman sitting on plush velvet sofa, legs crossed elegantly, wearing silk slip dress that rides up revealing lace thigh highs, arms resting behind head, looking down with innocent expression","low quality...",Sitting/Kneeling,1,
Kneeling Prayer Pose,"woman kneeling on soft rug, hands pressed together in prayer, wearing sheer white robe over lace bra and panties, back arched forward exposing cleavage, eyes closed sensually","low quality...",Kneeling/Crawling,1,
Lying Supine Bed,"model lying flat on rumpled white sheets, arms stretched above head, wearing oversized men's button-down shirt unbuttoned halfway showing strapless bra, gazing up at camera with parted lips","low quality...",Lying/Supine,1,
Prone Arching Back,"woman lying on stomach on leather chaise lounge, hips lifted high in exaggerated arch, wearing micro lace thong and no top, head turned to side looking over shoulder, hands gripping mattress edges","low quality...",Prone/Bending,1,
Exposed Unbuttoned Shirt,"close up of woman unbuttoning crisp white shirt slowly, one button revealed showing dark bra cup, fingers deftly working on fabric collar, soft focus background with bokeh lights","low quality...",Exposed/Teasing,1,
Hand Masturbation Stroke,"woman sitting on edge of bed, wearing black lace bodysuit, right hand gently stroking inner thigh near hem, head tilted back exposing throat, expression of pure pleasure, sweat glistening on skin","low quality...",Masturbation,1,
Straddle Partner Pose,"woman straddling partner's lap facing camera, partner behind her torso visible but face obscured, she wears red lingerie set, hands resting on partner's shoulders, biting lower lip seductively","low quality...",Sexual/Partnered,1,
Neon Light Silhouette,"backlit silhouette of woman against neon pink and blue wall, curves highlighted by rim lighting, sheer lace panty visible, one hand tracing hip curve, dramatic shadows","low quality...",Lighting/Environment,1,
Wet Look Bikini,"woman standing in shallow water wearing wet transparent white bikini, fabric clinging to nipples and crotch, droplets running down torso, hair plastered to chest, biting lip with intense eyes","low quality...",General,1,
Mirror Selfie Tease,"reflection in large ornate mirror, woman holding phone up for selfie while pulling bikini bottom to side, revealing perfect butt cheek, bedroom setting warm lighting, playful wink","low quality...",Standing,1,
Lap Sit Dance,"woman sitting on man's lap facing away, looking over shoulder with sultry expression, wearing short leather dress, one hand pulling knee high boot strap up, hands resting on partner's thighs","low quality...",Sitting/Kneeling,1,
Kneeling Stretch,"woman kneeling tall, arms extended upward stretching fingers, wearing tight yoga outfit that highlights curves, sweat glistening on abs, deep breath showing chest expansion, serene yet sensual look","low quality...",Kneeling/Crawling,1,
Hammock Suspended,"woman lying in rope hammock outdoors, swaying slightly, wearing red lace bra and thong, sun filtering through leaves creating dappled light on body, hair spread on pillow, legs relaxed open","low quality...",Lying/Supine,1,
Over Shoulder Bend,"woman bending over at waist with straight back, holding onto dresser edge, wearing short black mini skirt that rides up high, showing lace thong and bare thighs, looking back with raised eyebrow","low quality...",Prone/Bending,1,
Sheer Dress Reveal,"full body shot of woman in floor length sheer white dress, nude slip underneath visible but slightly askew, one strap slipping off shoulder, fingers gripping fabric at hip, wind blowing dress up slightly","low quality...",Exposed/Teasing,1,
Finger Play Lingerie,"close up of woman's hands playing with straps of black lace bra, wearing matching thong, sitting on velvet cushion, lips painted deep red, eyes half closed looking through lashes","low quality...",Masturbation,1,
Cradle Partner Embrace,"woman lying on back in partner's lap, head resting on chest, wearing silk chemise that slides off one shoulder, partner's hand splayed over her stomach, both faces relaxed and intimate","low quality...",Sexual/Partnered,1,
Volumetric Fog Studio,"model standing in studio with volumetric fog beams, wearing latex bodysuit zipped low, rim light cutting through fog highlighting wet texture of material, hair blown back, intense stare","low quality...",Lighting/Environment,1,
Silk Scarf Tease,"woman seated at table wearing elegant black evening gown, long silk scarf draped loosely around neck and slipping down one arm, biting edge of scarf seductively, candlelight flickering on face","low quality...",General,1,
Jeans Unzipped Low,"woman standing holding jacket open, wearing low rise jeans unzipped slightly to show lace bralette underneath, hands gripping waistband pulling apart, smirking at camera, urban alley background","low quality...",Standing,1,
Crossed Legs Office,"woman sitting in office chair facing camera, legs crossed tightly, pencil skirt hugging hips and thighs, blouse buttoned tight showing cleavage, pen twirling between fingers, glasses sliding down nose","low quality...",Sitting/Kneeling,1,
Crawling on Carpet,"woman crawling slowly towards camera on all fours, wearing fishnet stockings and lace garter belt, sheer camisole riding up, back arched, hair cascading forward, eyes locked with viewer","low quality...",Kneeling/Crawling,1,
Bedside Lamp Glow,"woman lying on side facing camera, illuminated by warm bedside lamp, wearing satin nightie clinging to curves, hand resting on hip, sheets tangled around legs, expression dreamy and inviting","low quality...",Lying/Supine,1,
Window Ledge Stretch,"woman perched on wide window ledge with curtain blowing in wind, wearing oversized sweater with one shoulder exposed, bare feet dangling, knees pulled to chest, looking out thoughtfully then smiling at camera","low quality...",Prone/Bending,1,
Corset Lacing Detail,"focus on woman's back as partner hands lace up red corset, curves emphasized by tight boning, lace bralette visible below, head turned away with flushed cheeks, intimate bedroom setting","low quality...",Exposed/Teasing,1,
Thigh Masturbation Closeup,"macro shot of woman's hand stroking inner thigh while lying back, wearing torn fishnet stocking pulled down, black nails contrasting pale skin, leg slightly raised, sensual atmosphere","low quality...",Masturbation,1,
Rear Straddle View,"woman straddling partner from behind facing away, arms wrapped around partner's neck, wearing tiny lace teddy, hips pressing close, partner's hands on her waist, head tilted back joyfully","low quality...",Sexual/Partnered,1,
Rain Window Condensation,"model pressed against cold glass window with rain droplets outside, condensation forming on glass near face, wearing oversized t-shirt and panties, drawing smiley face in fog, playful wet hair","low quality...",Lighting/Environment,1,
Choker Neckline Shot,"extreme close up of woman's neck and chest, wearing velvet choker with pendant resting in cleavage, skin glistening with oil, collarbones defined, lips slightly parted out of frame, dark moody background","low quality...",General,1,
Pool Edge Drip,"woman sitting on pool edge barefoot, dripping wet swimsuit clinging to body, hands wringing out hair over face, water droplets running down legs, sunlight sparkling on skin, tropical foliage background","low quality...",Standing,1,
Futon Spread,"woman lying on low futon with legs spread wide, wearing sheer white pantyhose and bralette, arms thrown back casually, one sock pulled down to ankle, soft natural window light","low quality...",Lying/Supine,1,
Kitchen Counter Hip,"woman leaning forward against kitchen island counter, wearing tight turtleneck and short skirt, hips cocked to side, fingers drumming on counter edge, looking up with mischievous grin","low quality...",Prone/Bending,1,
Bikini String Pull,"model standing on beach at sunset, holding string of bikini top between teeth, hands adjusting straps over head, wet skin glowing, hair blowing wild, ocean waves in background","low quality...",Exposed/Teasing,1,
Pillow Squeeze Masturbation,"woman lying on stomach hugging fluffy pillow to chest, wearing lace teddy with crotch cutout, hips lifted off mattress, face buried slightly in pillow with one eye peeking out looking at camera","low quality...",Mastibration,1,
Wing Back Chair Dip,"woman sitting deep in wingback chair, legs crossed high revealing hem of short dress and garter belt, leaning forward elbows on knees, hands clasped between ankles, looking up through lashes","low quality...",Sitting/Kneeling,1,
