style_name,prompt,negative_prompt
Legs Spread On Floor,"adult woman, legs spread on floor, elegant posture, confident expression, glamour editorial","low quality"
Back View Doggie Style Pose,"adult woman, doggie style pose, elegant posture, confident expression, glamour editorial","low quality"
Doggie Style Pose,"adult woman, pose, elegant posture, confident expression, glamour editorial","low quality"
Confident Standing,"adult woman, confident standing pose, one hand on hip, elegant glamour pose, fashion photography, stylish outfit","low quality"
Over Shoulder Look,"adult woman, looking back over shoulder, confident expression, tasteful sensual pose, cinematic lighting, fashion editorial","low quality"
Hand In Hair,"adult woman, one hand in hair, relaxed glamour pose, soft confident expression, studio lighting","low quality"
Hip Pop Pose,"adult woman, hip popped to one side, stylish model pose, confident body language, glamour fashion photography","low quality"
Wall Lean,"adult woman, leaning against wall, relaxed confident pose, tasteful glamour style, cinematic shadows","low quality"
Doorway Pose,"adult woman, standing in doorway, elegant alluring pose, confident gaze, fashion editorial lighting","low quality"
Window Light Pose,"adult woman, posing near window, soft natural light, tasteful sensual glamour pose, elegant styling","low quality"
Seated Glamour,"adult woman, seated elegant pose, legs angled gracefully, confident expression, high fashion photography","low quality"
Chair Lean Back,"adult woman, leaning back in chair, confident glamour pose, elegant posture, dramatic studio lighting","low quality"
Backward Chair Pose,"adult woman, seated backwards on chair, confident fashion pose, stylish editorial look, tasteful glamour","low quality"
Couch Lounge,"adult woman, reclining on couch, relaxed glamour pose, confident expression, soft studio lighting","low quality"
Luxury Sofa Pose,"adult woman, luxury sofa pose, elegant relaxed glamour, confident gaze, cinematic fashion shoot","low quality"
Floor Lounge,"adult woman, lounging on floor, graceful fashion pose, tasteful glamour, dramatic lighting","low quality"
Kneeling Fashion Pose,"adult woman, kneeling fashion pose, elegant posture, confident expression, glamour editorial","low quality"
Side Profile Pose,"adult woman, side profile pose, elegant silhouette, tasteful glamour styling, cinematic mood","low quality"
Back View Glamour,"adult woman, tasteful back view pose, looking over shoulder, elegant fashion styling, soft lighting","low quality"
Standing Silhouette,"adult woman, elegant standing silhouette pose, backlit glamour, stylish outfit, cinematic atmosphere","low quality"
Runway Turn,"adult woman, mid turn runway pose, confident attitude, high fashion styling, editorial photography","low quality"
Walking Toward Camera,"adult woman, walking toward camera, confident runway energy, stylish outfit, glamour fashion photo","low quality"
Power Pose,"adult woman, powerful confident stance, shoulders back, hands on waist, glamorous fashion editorial","low quality"
Femme Fatale Pose,"adult woman, femme fatale pose, mysterious confident expression, noir glamour, dramatic shadows","low quality"
Old Hollywood Glamour,"adult woman, old Hollywood glamour pose, elegant dress, soft dramatic lighting, red carpet style","low quality"
Red Carpet Pose,"adult woman, red carpet pose, one hand on waist, elegant confident expression, luxury fashion look","low quality"
Pin Up Inspired,"adult woman, vintage pin up inspired glamour pose, playful confident expression, retro fashion styling","low quality"
Noir Glamour,"adult woman, noir inspired glamour pose, dramatic shadows, confident elegant styling, cinematic mood","low quality"
Arm Above Head,"adult woman, one arm above head, elegant glamour pose, graceful body line, studio lighting","low quality"
Both Arms Raised,"adult woman, both arms raised gracefully, confident fashion pose, stylish outfit, glamour photography","low quality"
Hand On Neck,"adult woman, hand gently on neck, elegant sensual glamour pose, soft lighting, fashion editorial","low quality"
Hand On Shoulder,"adult woman, hand on shoulder, graceful glamour pose, confident expression, stylish fashion lighting","low quality"
Soft Smile Glamour,"adult woman, soft smile, relaxed tasteful sensual pose, elegant fashion photography, dreamy lighting","low quality"
Serious Editorial Pose,"adult woman, serious expression, high fashion pose, dramatic studio lighting, confident glamour","low quality"
Looking Down Pose,"adult woman, looking down softly, elegant sensual pose, moody glamour lighting, stylish outfit","low quality"
Looking Up Pose,"adult woman, looking up toward camera, confident glamour expression, elegant fashion styling","low quality"
Hair Flip Pose,"adult woman, dynamic hair flip pose, confident glamour, fashion model energy, cinematic motion","low quality"
Dress Twirl,"adult woman, elegant dress twirl pose, graceful movement, glamour photography, soft flowing fabric","low quality"
High Heel Pose,"adult woman, high heel fashion pose, elegant stance, confident model posture, glamour editorial","low quality"
Corset Fashion Pose,"adult woman, corset fashion pose, confident elegant styling, tasteful glamour photography, dramatic light","low quality"
Stocking Fashion Pose,"adult woman, tasteful stocking fashion pose, elegant glamour styling, editorial photography","low quality"
Lingerie Editorial,"adult woman, tasteful lingerie editorial pose, elegant studio glamour, confident expression, soft lighting","low quality"
Swimwear Editorial,"adult woman, tasteful swimwear editorial pose, confident glamour photography, luxury resort lighting","low quality"
Beach Glamour,"adult woman, beach glamour pose, wind in hair, confident fashion styling, golden hour lighting","low quality"
Poolside Glamour,"adult woman, poolside glamour pose, relaxed confident attitude, luxury fashion style, sunlight reflections","low quality"
Balcony Pose,"adult woman, posing on balcony, elegant confident posture, city lights background, cinematic fashion photography","low quality"
