name,prompt,negative_prompt,category,weight,favorite
0001 | Standing/Relaxed Contrapposto - Direct Gaze,"standing in relaxed contrapposto, weight settled into one hip, opposite knee softly bent, torso long and balanced, chin level, gaze forward, shoulders relaxed and symmetrical","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, low detail, blur, text, watermark",Standing,1.0,False
0002 | Standing/Relaxed Contrapposto - Leftward Gaze,"standing in relaxed contrapposto, weight settled into one hip, opposite knee softly bent, torso long and balanced, head turned slightly left, neck lengthened, gaze directed beyond the scene","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, low detail, blur, text, watermark",Standing,1.0,False
0003 | Standing/Relaxed Contrapposto - Rightward Gaze,"standing in relaxed contrapposto, weight settled into one hip, opposite knee softly bent, torso long and balanced, head turned slightly right, chin softly lowered, collarbones open","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, low detail, blur, text, watermark",Standing,1.0,False
0004 | Standing/Relaxed Contrapposto - Upward Focus,"standing in relaxed contrapposto, weight settled into one hip, opposite knee softly bent, torso long and balanced, chin lifted a little, eyes angled upward, ribcage subtly expanded","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, low detail, blur, text, watermark",Standing,1.0,False
0005 | Standing/Relaxed Contrapposto - Downward Focus,"standing in relaxed contrapposto, weight settled into one hip, opposite knee softly bent, torso long and balanced, chin lowered, gaze directed toward the ground, shoulders remaining open","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, low detail, blur, text, watermark",Standing,1.0,False
0006 | Standing/Relaxed Contrapposto - Three Quarter Left,"standing in relaxed contrapposto, weight settled into one hip, opposite knee softly bent, torso long and balanced, torso rotated a few degrees left, front shoulder eased forward, hips steady","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, low detail, blur, text, watermark",Standing,1.0,False
0007 | Standing/Relaxed Contrapposto - Three Quarter Right,"standing in relaxed contrapposto, weight settled into one hip, opposite knee softly bent, torso long and balanced, torso rotated a few degrees right, rear shoulder drawn back, stance controlled","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, low detail, blur, text, watermark",Standing,1.0,False
0008 | Standing/Relaxed Contrapposto - Soft S Curve,"standing in relaxed contrapposto, weight settled into one hip, opposite knee softly bent, torso long and balanced, spine forming a gentle S curve, one hip released, upper body counterbalanced","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, low detail, blur, text, watermark",Standing,1.0,False
0009 | Standing/Relaxed Contrapposto - Long Vertical Line,"standing in relaxed contrapposto, weight settled into one hip, opposite knee softly bent, torso long and balanced, spine elongated, crown lifted, abdomen engaged, posture clean and vertical","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, low detail, blur, text, watermark",Standing,1.0,False
0010 | Standing/Relaxed Contrapposto - Relaxed Asymmetry,"standing in relaxed contrapposto, weight settled into one hip, opposite knee softly bent, torso long and balanced, one shoulder slightly lower than the other, hips offset, stance naturally asymmetrical","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, low detail, blur, text, watermark",Standing,1.0,False
