name,prompt,negative_prompt,category,weight,favorite
0000 | No Style,,,General,1,
0001 | Design / 3D / Graphic/Design,"A clean, purposeful graphic-illustration style built on confident, simplified shape construction that prioritizes function and clarity over decorative detail, flat or minimally gradated color application applied with intentional restraint, a balanced, structured compositional logic guided by clear visual hierarchy, deliberate, uncluttered spacing that lets each element read instantly, and a versatile, contemporary graphic-design clarity rooted in modern commercial and digital design convention. Influenced by: modern graphic-design tradition, minimalist design practice, contemporary commercial-design technique, digital-design composition method.",,Design / 3D / Graphic,1,
0002 | Design / 3D / Graphic/Butcher Billy Style,"A bold, graphic retro-pop illustration style built on flat, punchy color-block construction separated by crisp confident outline, a deliberate mash-up sensibility blending mid-century advertising polish with pop-culture iconography, sharp geometric simplification replacing painterly nuance entirely, confident, graphic silhouette design calibrated for instant recognizability, and a witty, nostalgic commercial-art punch that feels both retro and unmistakably contemporary. Influenced by: Butcher Billy, retro-pop graphic-design tradition, mid-century advertising illustration technique, pop-culture mash-up illustration practice.",,Design / 3D / Graphic,1,
0003 | Design / 3D / Graphic/Corporate Memphis,"A flat, rounded illustration style built on simplified, tube-like limbs and gently curved geometric shapes replacing naturalistic anatomy entirely, uniform flat-color fill with minimal to no shading beyond soft contact shadow, a deliberately generic, approachable proportion language designed for broad, inoffensive relatability, clean, uncluttered composition prioritizing instant digital-platform legibility, and a friendly, corporate-tech sincerity that feels streamlined, accessible, and unmistakably contemporary. Influenced by: contemporary flat-illustration movement, tech-industry design-system practice, geometric character-illustration technique, digital-platform brand-illustration method.",,Design / 3D / Graphic,1,
0004 | Design / 3D / Graphic/8-Bit Style,"A blocky, pixel-constrained illustration style built on hard, discrete square units standing in for all line and shading, an extremely limited tonal palette-logic forcing every gradient into stepped, visible bands, deliberate geometric simplification that reduces anatomy to its most essential recognizable silhouette, a rigid, grid-locked precision replacing any curved or organic mark-making, and a nostalgic, technically constrained charm that celebrates the aesthetic discipline of early digital-display limitation. Influenced by: early video-game sprite-art tradition, Nintendo Entertainment System graphics technique, pixel-art illustration practice, retro arcade visual-design method.",,Design / 3D / Graphic,1,
0005 | Design / 3D / Graphic/Kintsugi-Inspired Digital Art,"A contemplative repair-as-beauty illustration style built on deliberate fracture lines traced with luminous, precious-metal seams that transform breakage into ornamental focal points, a quiet philosophical tension between damage and restoration rendered with meticulous, reverent craftsmanship, smooth surrounding surfaces contrasted against the raised, textural presence of the mended seams, a hushed, contemplative stillness that treats imperfection as the compositional centerpiece rather than something hidden, and a refined, wabi-sabi sincerity that finds quiet grandeur in visible history. Influenced by: traditional kintsugi ceramic-repair technique, wabi-sabi aesthetic philosophy, Japanese lacquer-craft tradition, contemporary repair-art practice.",,Design / 3D / Graphic,1,
0006 | Design / 3D / Graphic/Soviet Propaganda Poster,"A bold, graphic illustration style built on stark, high-contrast flat color fields separated by confident heavy outline, a monumental, low-angle compositional heroism that dramatically elevates the central figure, dynamic diagonal energy conveying collective momentum and forward-driving purpose, simplified, sculptural anatomy rendered with poster-ready graphic clarity over naturalistic nuance, and a bold, rousing propagandistic grandeur built for instant ideological impact at a distance. Influenced by: Constructivist poster-design tradition, Alexander Rodchenko, socialist-realist illustration technique, agitprop graphic-design practice.",,Design / 3D / Graphic,1,
0007 | Design / 3D / Graphic/Minecraft Style,"A blocky, voxel-constrained illustration style built on hard-edged cubic geometry standing in for all organic and structural form, a deliberately low-resolution texture logic that reduces surface detail to flat, pixelated approximation, rigid right-angle construction replacing curved or naturalistic silhouette entirely, a charmingly crude, procedurally consistent simplicity carried through uniform block-unit scale, and a nostalgic, technically constrained charm rooted in early sandbox-game visual limitation. Influenced by: voxel-based game-design tradition, Markus Persson procedural-generation practice, low-poly/blocky 3D-rendering technique, sandbox-game visual-design method.",,Design / 3D / Graphic,1,
0008 | Design / 3D / Graphic/Funko Pop Style,"A stylized, toy-figure illustration style built on an oversized, dominant head-to-body proportion ratio replacing naturalistic anatomy entirely, a glossy, uniformly smooth vinyl-like finish applied across every plane with no visible textural variation, minimal facial detail reduced to simplified dot-eyes and near-featureless expression, a rigid, static posing logic that mimics fixed collectible-figure stance, and a charmingly reductive, mass-collectible commercial polish that feels instantly recognizable and endearingly toy-like. Influenced by: Funko Pop! product-design tradition, vinyl-collectible figure aesthetic, stylized toy-proportion design practice, mass-market collectible-merchandise rendering method.",,Design / 3D / Graphic,1,
0009 | Design / 3D / Graphic/Hyper-Stylized Illustration,"A boldly exaggerated illustration style built on confident distortion of proportion that pushes form far beyond naturalistic reference, sharp, graphic linework holding dramatically simplified or elongated silhouette with total confidence, flat-to-gradient shading applied with deliberate, controlled boldness rather than subtlety, an assertive, larger-than-life visual rhythm carried through exaggerated posing and composition, and a striking, unapologetically stylized intensity that treats distortion itself as the core creative statement. Influenced by: contemporary stylized character-design tradition, exaggerated-proportion illustration technique, bold graphic-design-adjacent rendering practice, confident stylization-driven concept-art method.",,Design / 3D / Graphic,1,
