name,category,prompt,negative_prompt
none,Control,,
random,Control,,
African elephant — Clear Identity,African wildlife,"a African elephant as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
African lion — Clear Identity,Big cats,"a African lion as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
grey wolf — Clear Identity,Wild canines,"a grey wolf as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
brown bear — Clear Identity,Bears,"a brown bear as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
western gorilla — Clear Identity,Primates,"a western gorilla as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
moose — Clear Identity,Hoofed animals,"a moose as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
red kangaroo — Clear Identity,Australian wildlife,"a red kangaroo as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Holstein cow — Clear Identity,Farm animals,"a Holstein cow as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
golden retriever — Clear Identity,Domestic pets,"a golden retriever as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
peacock — Clear Identity,Birds,"a peacock as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
bald eagle — Clear Identity,Birds of prey,"a bald eagle as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
saltwater crocodile — Clear Identity,Reptiles,"a saltwater crocodile as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
red-eyed tree frog — Clear Identity,Amphibians,"a red-eyed tree frog as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
blue whale — Clear Identity,Marine mammals,"a blue whale as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
great white shark — Clear Identity,Sharks and rays,"a great white shark as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
clownfish — Clear Identity,Fish,"a clownfish as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
monarch butterfly — Clear Identity,Insects,"a monarch butterfly as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
peacock spider — Clear Identity,Arachnids,"a peacock spider as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Tyrannosaurus rex — Clear Identity,Prehistoric animals,"a Tyrannosaurus rex as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
African buffalo — Clear Identity,African wildlife,"a African buffalo as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
