name,category,prompt,negative_prompt
none,Control,,
random,Control,,
ancient mountain dragon — Heroic,Dragons,"a heroic ancient mountain dragon, clearly defined fantasy design, readable silhouette and richly considered materials","wrong fantasy subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
golden griffin — Heroic,Griffins,"a heroic golden griffin, clearly defined fantasy design, readable silhouette and richly considered materials","wrong fantasy subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
ember phoenix — Heroic,Phoenixes,"a heroic ember phoenix, clearly defined fantasy design, readable silhouette and richly considered materials","wrong fantasy subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
silver unicorn — Heroic,Unicorns,"a heroic silver unicorn, clearly defined fantasy design, readable silhouette and richly considered materials","wrong fantasy subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
wood elf ranger — Heroic,Elves,"a heroic wood elf ranger, clearly defined fantasy design, readable silhouette and richly considered materials","wrong fantasy subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
dwarf runesmith — Heroic,Dwarves,"a heroic dwarf runesmith, clearly defined fantasy design, readable silhouette and richly considered materials","wrong fantasy subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
orc chieftain — Heroic,Orcs,"a heroic orc chieftain, clearly defined fantasy design, readable silhouette and richly considered materials","wrong fantasy subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
goblin tinkerer — Heroic,Goblins,"a heroic goblin tinkerer, clearly defined fantasy design, readable silhouette and richly considered materials","wrong fantasy subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
flower fae — Heroic,Fae,"a heroic flower fae, clearly defined fantasy design, readable silhouette and richly considered materials","wrong fantasy subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
coral merfolk guardian — Heroic,Merfolk,"a heroic coral merfolk guardian, clearly defined fantasy design, readable silhouette and richly considered materials","wrong fantasy subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
stone giant — Heroic,Giants,"a heroic stone giant, clearly defined fantasy design, readable silhouette and richly considered materials","wrong fantasy subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
star wizard — Heroic,Wizards,"a heroic star wizard, clearly defined fantasy design, readable silhouette and richly considered materials","wrong fantasy subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
hedge witch — Heroic,Witches,"a heroic hedge witch, clearly defined fantasy design, readable silhouette and richly considered materials","wrong fantasy subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
dragon knight — Heroic,Knights,"a heroic dragon knight, clearly defined fantasy design, readable silhouette and richly considered materials","wrong fantasy subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
graveyard necromancer — Heroic,Necromancers,"a heroic graveyard necromancer, clearly defined fantasy design, readable silhouette and richly considered materials","wrong fantasy subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
empty enchanted plate armour — Heroic,Enchanted armour,"a heroic empty enchanted plate armour, clearly defined fantasy design, readable silhouette and richly considered materials","wrong fantasy subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
moon rabbit spirit — Heroic,Magical creatures,"a heroic moon rabbit spirit, clearly defined fantasy design, readable silhouette and richly considered materials","wrong fantasy subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
chimera — Heroic,Mythical beasts,"a heroic chimera, clearly defined fantasy design, readable silhouette and richly considered materials","wrong fantasy subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
living spellbook — Heroic,Living objects,"a heroic living spellbook, clearly defined fantasy design, readable silhouette and richly considered materials","wrong fantasy subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
