name,category,prompt,negative_prompt
none,Control,,
random,Control,,
gargoyle sentinel — Atmospheric,Gothic creatures,"an atmospheric gargoyle sentinel, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
lantern ghost — Atmospheric,Ghosts,"an atmospheric lantern ghost, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
corridor apparition — Atmospheric,Apparitions,"an atmospheric corridor apparition, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
aristocratic vampire — Atmospheric,Vampires,"an atmospheric aristocratic vampire, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
forest werewolf — Atmospheric,Werewolves,"an atmospheric forest werewolf, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
weathered revenant — Atmospheric,Undead,"an atmospheric weathered revenant, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
porcelain haunted doll — Atmospheric,Haunted dolls,"an atmospheric porcelain haunted doll, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
cursed music box — Atmospheric,Cursed objects,"an atmospheric cursed music box, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
ritual-circle entity — Atmospheric,Occult entities,"an atmospheric ritual-circle entity, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
impossible star creature — Atmospheric,Cosmic horror,"an atmospheric impossible star creature, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
moss-covered swamp monster — Atmospheric,Swamp monsters,"an atmospheric moss-covered swamp monster, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
blind cave crawler — Atmospheric,Cave creatures,"an atmospheric blind cave crawler, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
abandoned laboratory specimen — Atmospheric,Laboratory subjects,"an atmospheric abandoned laboratory specimen, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
broadcast interruption figure — Atmospheric,Analog horror,"an atmospheric broadcast interruption figure, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
doorway shadow figure — Atmospheric,Shadow figures,"an atmospheric doorway shadow figure, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
symmetrical flesh construct — Atmospheric,Body horror,"an atmospheric symmetrical flesh construct, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
ghostly black dog — Atmospheric,Supernatural animals,"an atmospheric ghostly black dog, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
cathedral beast — Atmospheric,Gothic creatures,"an atmospheric cathedral beast, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
